place_of_origin,country
Vitebsk,Belarus
Ames,France
Slovenia,Slovenia
Mauritania,Mauritania
Newburgh,United States
Bridgeton,United States
Iraq,Iraq
"Zuni Tribe of the Zuni Reservation, New Mexico", United States
Zia Pueblo,United States
Southbury,United States
Miami Beach,United States
Sioux Falls,United States
Adirondack Mountains,United States
Pomona,United States
Lansing,United States
La Crosse,United States
Prescott,United States
Idaho,United States
Minneapolis,United States
Coalbrookdale,United Kingdom
Ottoman Empire,Turkey
Chartres,France
Hampton Court,United Kingdom
Orlando,United States
Ankara,Turkey
Cumbria,United Kingdom
Engelberg,Switzerland
Nîmes,France
Hampshire,United Kingdom
Devon,United Kingdom
Rhineland Palatinate,Germany
Norfolk,United Kingdom
York,United Kingdom
East Sussex,United Kingdom
Laon,France
Saint Moritz,Switzerland
Odiham,United Kingdom
Derbyshire,United Kingdom
Isles of Scilly,United Kingdom
Gwynedd,United Kingdom
Fountains Abbey,United Kingdom
North Yorkshire,United Kingdom
Essex,United Kingdom
Nancy,France
Nottinghamshire,United Kingdom
Ventura,United States
Marin County,United States
Delaware,United States
Honolulu,United States
Atlantic City,United States
Guam Island,United States
Hampton Falls,United States
København county, Denmark
Memphis,United States
"Lakeview Avenue, 2704 North",Canada
Southern Plains,Botswana
Noritake-shimmachi, Japan
Dunes Hotel,United Kingdom
Germantown,United States
Coraopolis,United States
Vallauris,France
Northern Plains,United States
Central Anatolian Region,Turkey
Malawi,Malawi
Corfu,Greece
"Michigan Avenue, 360 North",United States
"Adams Street, 287 West (old)", United States
"Stony Island Avenue, 7400 South",United States
Sharon,United States
"Stetson Avenue, 211 North", United States
"Lake Shore Drive, 1500 North (apartment building)", United States
Bangkok,Thailand
"Bryn Mawr Avenue, 8750 West",United States
Saxony-Anhalt,Germany
[Retired]American all locations, United States
Wheaton,United States
Downers Grove,United States
Linz,Austria
Iceland,Iceland
Quimper,France
Hokkaido region,Japan
"Michigan Avenue, 220 South",United States
LaSalle Street,United States
Walworth,United States
91st Street at Commercial Avenue, United States
Artesia,United States
Jackson Hole,United States
Lake Koshkonong,United States
"Cervantes Road, 205",United States
Bend,United States
Hillsborough,United States
Lake Geneva,France
"Oakvale Road, 55",United States
Lincoln Park,United States
"Michigan Avenue, 20 North", United States
Piñon,United States
"Elm Street, 2-10 West (apartment hotel)", United States
North Barrington,United States
"Cannon Drive, 2430 North",United States
Treviso,Italy
San Juan,United States
Elkhart,United States
Dixon,United States
Moldavia,Romania
Croatia,Croatia
Azerbaijan,Azerbaijan
Anet,France
Èze Bord de Mer,France
Amiens,France
Jammu-Kashmir,India
Tourrette-sur-Loup, France
Áyios Nikólaos,Cyprus
Granada province,Peru
Muncie,United States
San Gimignano,Italy
Elmhurst,United States
Southern India,India
Morgantown,United States
Puri,India
Nathdwara,India
Maharashtra,India
Mysore,India
Merton Abbey Works, ,United Kingdom
"Korhogo, Département de", Ivory Coast
Lima department,Peru
Cape Town,South Africa
Captiva,United States
Acoma Pueblo,United States
Gilbert,United States
Togo,Togo
South America,
Giverny,France
Cuernavaca,Mexico
Edgefield,United States
Kinngait,Canada
Coromandel Coast, India
Schaumburg,United States
Clinton,United States
"Peru, Viceroyalty of", Peru
Dali,China
Bogotá,Colombia
West Indies,Dominican Republic
Jemez Pueblo,United States
Passamaquoddy Indian Township Reservation,United States
Sheikh-'Ibada,Egypt
Henderson,United States
Scenic,United States
Center Lovell,United States
Arita,Japan
Pilchuck Glass School,United States
Lauscha,Germany
North Manly,Australia
Mata Ortiz,Mexico
Penobscot Nation,United States
Santa Cruz,Spain
